,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Other people in need of international protection,Stateless persons,Host Community,Others of concern
0,1999,Afghanistan,AFG,Austria,AUT,401,0.0,0.0,-,0.0,-,0.0
682,1999,Panama,PAN,Sweden,SWE,32,0.0,0.0,-,0.0,-,0.0
683,1999,Paraguay,PRY,Netherlands (Kingdom of the),NLD,5,0.0,0.0,-,0.0,-,0.0
684,1999,Paraguay,PRY,Sweden,SWE,5,0.0,0.0,-,0.0,-,0.0
685,1999,Peru,PER,Austria,AUT,5,0.0,0.0,-,0.0,-,0.0
686,1999,Peru,PER,Belgium,BEL,71,0.0,0.0,-,0.0,-,0.0
687,1999,Peru,PER,Denmark,DNK,37,0.0,0.0,-,0.0,-,0.0
688,1999,Peru,PER,France,FRA,395,0.0,0.0,-,0.0,-,0.0
689,1999,Peru,PER,United Kingdom of Great Britain and Northern Ireland,GBR,20,0.0,0.0,-,0.0,-,0.0
690,1999,Peru,PER,Italy,ITA,5,0.0,0.0,-,0.0,-,0.0
691,1999,Peru,PER,Netherlands (Kingdom of the),NLD,42,0.0,0.0,-,0.0,-,0.0
692,1999,Peru,PER,Norway,NOR,71,0.0,0.0,-,0.0,-,0.0
693,1999,Peru,PER,Sweden,SWE,1492,0.0,0.0,-,0.0,-,0.0
694,1999,Peru,PER,Switzerland,CHE,36,0.0,0.0,-,0.0,-,0.0
681,1999,Panama,PAN,Netherlands (Kingdom of the),NLD,5,0.0,0.0,-,0.0,-,0.0
695,1999,Philippines,PHL,Netherlands (Kingdom of the),NLD,7,0.0,0.0,-,0.0,-,0.0
697,1999,Papua New Guinea,PNG,Netherlands (Kingdom of the),NLD,6,0.0,0.0,-,0.0,-,0.0
698,1999,Poland,POL,Austria,AUT,11,0.0,0.0,-,0.0,-,0.0
699,1999,Poland,POL,Belgium,BEL,15,0.0,0.0,-,0.0,-,0.0
700,1999,Poland,POL,Denmark,DNK,34,0.0,0.0,-,0.0,-,0.0
701,1999,Poland,POL,France,FRA,364,0.0,0.0,-,0.0,-,0.0
702,1999,Poland,POL,United Kingdom of Great Britain and Northern Ireland,GBR,10,0.0,0.0,-,0.0,-,0.0
703,1999,Poland,POL,Netherlands (Kingdom of the),NLD,88,0.0,0.0,-,0.0,-,0.0
704,1999,Poland,POL,Norway,NOR,19,0.0,0.0,-,0.0,-,0.0
705,1999,Poland,POL,Sweden,SWE,245,0.0,0.0,-,0.0,-,0.0
706,1999,Poland,POL,Switzerland,CHE,42,0.0,0.0,-,0.0,-,0.0
707,1999,Romania,ROU,Austria,AUT,2375,0.0,0.0,-,0.0,-,0.0
708,1999,Romania,ROU,Belgium,BEL,338,0.0,0.0,-,0.0,-,0.0
709,1999,Romania,ROU,Czechia,CZE,177,0.0,0.0,-,0.0,-,0.0
696,1999,Philippines,PHL,Sweden,SWE,12,0.0,0.0,-,0.0,-,0.0
710,1999,Romania,ROU,Denmark,DNK,155,0.0,0.0,-,0.0,-,0.0
680,1999,Pakistan,PAK,Switzerland,CHE,181,0.0,0.0,-,0.0,-,0.0
678,1999,Pakistan,PAK,Romania,ROU,5,0.0,0.0,-,0.0,-,0.0
650,1999,Nicaragua,NIC,Sweden,SWE,20,0.0,0.0,-,0.0,-,0.0
651,1999,Nigeria,NGA,Austria,AUT,54,0.0,0.0,-,0.0,-,0.0
652,1999,Nigeria,NGA,Belgium,BEL,6,0.0,0.0,-,0.0,-,0.0
653,1999,Nigeria,NGA,Czechia,CZE,20,0.0,0.0,-,0.0,-,0.0
654,1999,Nigeria,NGA,Denmark,DNK,16,0.0,0.0,-,0.0,-,0.0
655,1999,Nigeria,NGA,Finland,FIN,11,0.0,0.0,-,0.0,-,0.0
656,1999,Nigeria,NGA,France,FRA,148,0.0,0.0,-,0.0,-,0.0
657,1999,Nigeria,NGA,United Kingdom of Great Britain and Northern Ireland,GBR,310,0.0,0.0,-,0.0,-,0.0
658,1999,Nigeria,NGA,Hungary,HUN,29,0.0,0.0,-,0.0,-,0.0
659,1999,Nigeria,NGA,Ireland,IRL,17,0.0,0.0,-,0.0,-,0.0
660,1999,Nigeria,NGA,Italy,ITA,11,0.0,0.0,-,0.0,-,0.0
661,1999,Nigeria,NGA,Netherlands (Kingdom of the),NLD,109,0.0,0.0,-,0.0,-,0.0
662,1999,Nigeria,NGA,Norway,NOR,11,0.0,0.0,-,0.0,-,0.0
679,1999,Pakistan,PAK,Sweden,SWE,92,0.0,0.0,-,0.0,-,0.0
663,1999,Nigeria,NGA,Sweden,SWE,35,0.0,0.0,-,0.0,-,0.0
665,1999,Nigeria,NGA,Ukraine,UKR,5,0.0,0.0,-,0.0,-,0.0
666,1999,Pakistan,PAK,Austria,AUT,40,0.0,0.0,-,0.0,-,0.0
667,1999,Pakistan,PAK,Belgium,BEL,196,0.0,0.0,-,0.0,-,0.0
668,1999,Pakistan,PAK,Denmark,DNK,19,0.0,0.0,-,0.0,-,0.0
669,1999,Pakistan,PAK,Finland,FIN,17,0.0,0.0,-,0.0,-,0.0
670,1999,Pakistan,PAK,France,FRA,125,0.0,0.0,-,0.0,-,0.0
671,1999,Pakistan,PAK,United Kingdom of Great Britain and Northern Ireland,GBR,765,0.0,0.0,-,0.0,-,0.0
672,1999,Pakistan,PAK,Hungary,HUN,5,0.0,0.0,-,0.0,-,0.0
673,1999,Pakistan,PAK,Iceland,ISL,5,0.0,0.0,-,0.0,-,0.0
674,1999,Pakistan,PAK,Italy,ITA,37,0.0,0.0,-,0.0,-,0.0
675,1999,Pakistan,PAK,Netherlands (Kingdom of the),NLD,193,0.0,0.0,-,0.0,-,0.0
676,1999,Pakistan,PAK,Norway,NOR,65,0.0,0.0,-,0.0,-,0.0
