,Year,Country of asylum,Refugees under UNHCR's mandate
0,1999,Albania,3932
1,1999,Austria,82076
2,1999,Belarus,261
3,1999,Belgium,16747
4,1999,Bulgaria,542
5,1999,Croatia,28374
6,1999,Cyprus,112
7,1999,Czechia,1232
8,1999,Denmark,68982
9,1999,Finland,12866
10,1999,France,129722
11,1999,Germany,975500
12,1999,Greece,6283
13,1999,Hungary,4980
14,1999,Iceland,245
15,1999,Ireland,2829
16,1999,Italy,6004
17,1999,Luxembourg,700
18,1999,Malta,271
19,1999,Netherlands,138633
20,1999,North Macedonia,21200
21,1999,Norway,43441
22,1999,Poland,937
23,1999,Romania,1234
24,1999,Serbia,501263
25,1999,Slovakia,436
26,1999,Slovenia,4380
27,1999,Sweden,159504
28,1999,Switzerland,82273
29,1999,Ukraine,2687
30,1999,United Kingdom,148921
31,2000,Albania,521
32,2000,Austria,15493
33,2000,Belarus,453
34,2000,Belgium,18821
35,2000,Bulgaria,1470
36,2000,Croatia,22437
37,2000,Cyprus,73
38,2000,Czechia,1186
39,2000,Denmark,71017
40,2000,Estonia,0
41,2000,Finland,13271
42,2000,France,132508
43,2000,Germany,906000
44,2000,Greece,6653
45,2000,Hungary,5053
46,2000,Iceland,235
47,2000,Ireland,2530
48,2000,Italy,6813
49,2000,Luxembourg,759
50,2000,Malta,191
51,2000,Netherlands,146174
52,2000,North Macedonia,9048
53,2000,Norway,47700
54,2000,Poland,1011
55,2000,Portugal,416
56,2000,Romania,1677
57,2000,Serbia,484390
58,2000,Slovakia,444
59,2000,Slovenia,2814
60,2000,Spain,6982
61,2000,Sweden,157206
62,2000,Switzerland,57624
63,2000,Ukraine,2927
64,2000,United Kingdom,186247
65,2001,Albania,291
66,2001,Austria,14375
67,2001,Belarus,581
68,2001,Belgium,12252
69,2001,Bulgaria,2984
70,2001,Croatia,21875
71,2001,Cyprus,84
72,2001,Czechia,1217
73,2001,Denmark,73284
74,2001,Estonia,6
75,2001,Finland,12726
76,2001,France,131601
77,2001,Germany,903000
78,2001,Greece,6927
79,2001,Hungary,4700
80,2001,Iceland,204
81,2001,Ireland,3585
82,2001,Italy,8541
83,2001,Luxembourg,1201
84,2001,Malta,175
85,2001,Netherlands,151919
86,2001,North Macedonia,4362
87,2001,Norway,50122
88,2001,Poland,1295
89,2001,Portugal,444
90,2001,Romania,1792
91,2001,Serbia,400306
92,2001,Slovakia,461
93,2001,Slovenia,2411
94,2001,Spain,6804
95,2001,Sweden,146480
96,2001,Switzerland,58471
97,2001,Ukraine,2958
98,2001,United Kingdom,233389
99,2002,Albania,18
100,2002,Austria,14122
101,2002,Belarus,612
102,2002,Belgium,12560
103,2002,Bulgaria,3642
104,2002,Croatia,8392
105,2002,Cyprus,171
106,2002,Czechia,1296
107,2002,Denmark,73600
108,2002,Estonia,6
109,2002,Finland,12485
110,2002,France,132182
111,2002,Germany,980001
112,2002,Greece,2778
113,2002,Hungary,6075
114,2002,Iceland,197
115,2002,Ireland,5366
116,2002,Italy,10031
117,2002,Luxembourg,1201
118,2002,Malta,311
119,2002,Netherlands,148349
120,2002,North Macedonia,2815
121,2002,Norway,50421
122,2002,Poland,1586
123,2002,Portugal,460
124,2002,Romania,1839
125,2002,Serbia,354400
126,2002,Slovakia,443
127,2002,Slovenia,384
128,2002,Spain,6783
129,2002,Sweden,142170
130,2002,Switzerland,54081
131,2002,Ukraine,2940
132,2002,United Kingdom,260687
133,2003,Albania,24
134,2003,Austria,16097
135,2003,Belarus,631
136,2003,Belgium,12583
137,2003,Bulgaria,4047
138,2003,Croatia,4385
139,2003,Cyprus,339
140,2003,Czechia,1516
141,2003,Denmark,69855
142,2003,Estonia,6
143,2003,Finland,10835
144,2003,France,130838
145,2003,Germany,960393
146,2003,Greece,2762
147,2003,Hungary,7013
148,2003,Iceland,226
149,2003,Ireland,5971
150,2003,Italy,12812
151,2003,Luxembourg,1201
