,Country of asylum,Refugees under UNHCR's mandate
0,Albania,5957
1,Austria,852201
2,Belarus,15359
3,Belgium,405427
4,Bulgaria,123821
5,Croatia,104167
6,Cyprus,53321
7,Czechia,42812
8,Denmark,744050
9,Estonia,1184
10,Finland,220103
11,France,3627670
12,Germany,12778286
13,Greece,167754
14,Hungary,108121
15,Iceland,3132
16,Ireland,124098
17,Italy,1029433
18,Luxembourg,36113
19,Malta,81366
20,Netherlands,1984341
21,North Macedonia,52784
22,Norway,862486
23,Poland,176056
24,Portugal,10100
25,Romania,34786
26,Serbia,3252310
27,Slovakia,9958
28,Slovenia,16058
29,Spain,116506
30,Sweden,2338181
31,Switzerland,1098739
32,Ukraine,68118
33,United Kingdom,4058913
