Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"Returned refugees","IDPs of concern to UNHCR","Returned IDPss","Stateless persons","Others of concern","Other people in need of international protection","Host Community"
1951,-,-,-,-,2116011,0,0,0,0,0,0,-,-
1952,-,-,-,-,1952928,0,0,0,0,0,0,-,-
1953,-,-,-,-,1847304,0,0,0,0,0,0,-,-
1954,-,-,-,-,1749628,0,0,0,0,0,0,-,-
1955,-,-,-,-,1717966,0,0,0,0,0,0,-,-
1956,-,-,-,-,1767975,0,0,0,0,0,0,-,-
1957,-,-,-,-,1742514,0,0,0,0,0,0,-,-
1958,-,-,-,-,1698310,0,0,0,0,0,0,-,-
1959,-,-,-,-,1674185,0,0,0,0,0,0,-,-
1960,-,-,-,-,1656664,0,0,0,0,0,0,-,-
1961,-,-,-,-,1789067,0,0,0,0,0,0,-,-
1962,-,-,-,-,1765622,0,0,0,0,0,0,-,-
1963,-,-,-,-,1682403,0,0,0,0,0,0,-,-
1964,-,-,-,-,3079949,0,0,0,0,0,0,-,-
1965,-,-,-,-,3531615,0,38100,0,0,0,0,-,-
1966,-,-,-,-,3501013,0,29090,0,0,0,0,-,-
1967,-,-,-,-,2356991,0,7620,0,0,0,0,-,-
1968,-,-,-,-,2463736,0,21850,0,0,0,0,-,-
1969,-,-,-,-,2531177,0,31700,0,0,0,0,-,-
1970,-,-,-,-,2464730,0,13870,0,0,0,0,-,-
1971,-,-,-,-,3279710,0,2058300,0,0,0,0,-,-
1972,-,-,-,-,3251850,0,9913600,0,0,0,0,-,-
1973,-,-,-,-,2901335,0,120900,0,0,0,0,-,-
1974,-,-,-,-,2994463,0,127650,0,0,0,0,-,-
1975,-,-,-,-,3529434,0,89120,0,0,0,0,-,-
1976,-,-,-,-,4270631,0,13260,0,0,0,0,-,-
1977,-,-,-,-,4518659,0,1780,0,0,0,0,-,-
1978,-,-,-,-,5065844,0,262250,0,0,0,0,-,-
1979,-,-,-,-,6279912,0,571240,0,0,0,0,-,-
1980,-,-,-,-,8454917,0,774810,0,0,0,0,-,-
1981,-,-,-,-,9714297,0,237150,0,0,0,0,-,-
1982,-,-,-,-,10319353,0,396170,0,0,0,0,-,-
1983,-,-,-,-,10620784,0,103145,0,0,0,0,-,-
1984,-,-,-,-,10728307,0,367753,0,0,0,0,-,-
1985,-,-,-,-,11864046,0,393645,0,0,0,0,-,-
1986,-,-,-,-,12633964,0,327060,0,0,0,0,-,-
1987,-,-,-,-,13128334,0,240680,0,0,0,0,-,-
1988,-,-,-,-,14347031,0,234640,0,0,0,0,-,-
1989,-,-,-,-,14732885,0,207186,0,0,0,0,-,-
1990,-,-,-,-,17395914,0,139120,0,0,0,0,-,-
1991,-,-,-,-,16854762,0,2184724,0,0,0,0,-,-
1992,-,-,-,-,17838020,0,2243039,0,0,0,0,-,-
1993,-,-,-,-,16325299,743601,861034,4198400,0,0,0,-,-
1994,-,-,-,-,15753494,644640,3036966,5322990,0,0,0,-,-
1995,-,-,-,-,14895916,986458,1173670,4286690,0,0,0,-,-
1996,-,-,-,-,13356861,977087,2076538,4853712,0,0,0,-,-
1997,-,-,-,-,12014967,1028200,926564,4573112,100282,0,1404100,-,-
1998,-,-,-,-,11480438,977800,1016319,5063880,207242,0,1378527,-,-
1999,-,-,-,-,11686760,1027400,1599105,3968648,1048387,0,1491142,-,-
2000,-,-,-,-,12129079,947322,767383,5998501,369055,0,1653841,-,-
2001,-,-,-,-,12116301,943383,462396,5096502,240950,0,1039510,-,-
2002,-,-,-,-,10593526,1093121,2426009,4646641,1179038,0,953319,-,-
2003,-,-,-,-,9592247,995567,1094889,4181701,237798,0,905344,-,-
2004,-,-,-,-,9572719,884285,1434190,5426539,146516,1455861,597042,-,-
2005,-,-,-,-,8661293,801119,1105477,6616791,519430,2383651,960359,-,-
2006,-,-,-,-,9876879,740253,733557,12794268,1864171,5805941,1045409,-,-
2007,-,-,-,-,11390082,739958,730573,13740317,2070118,2938538,68615,-,-
2008,-,-,-,-,10488915,823931,603884,14442227,1361436,6573465,166860,-,-
2009,-,-,-,-,10395713,988030,251413,15628057,2229540,6559572,411691,-,-
2010,-,-,-,-,10548835,835969,197579,14697804,2923233,3463073,1255578,-,-
2011,-,-,-,-,10403937,895691,531868,15473378,3245804,3477100,1411844,-,-
2012,-,-,-,-,10497017,941497,525902,17670368,1545486,3335772,1329600,-,-
2013,-,-,-,-,11698233,1162934,385651,23925555,1356182,3469268,836073,-,-
2014,-,-,-,-,14384289,1794704,126767,32274619,1822591,3492255,1052746,-,-
2015,-,-,-,-,16110276,3223460,201387,37494172,2317314,3687759,870688,-,-
2016,-,-,-,-,17184286,2729521,552219,36627127,6511144,3242206,803084,-,-
2017,-,-,-,-,19940566,3089507,384887,39118516,4228971,3853982,1596125,-,-
2018,-,-,-,-,20359553,3501629,519321,41425168,2312926,3851981,1182756,2592947,-
2019,-,-,-,-,20414669,4148141,317181,43503362,5343793,4217776,3836116,3582202,2304506
2020,-,-,-,-,20661846,4184926,250951,48557439,3184118,4179349,3940730,3862102,4369021
2021,-,-,-,-,21327285,4616134,429234,51322623,5265622,4337409,4223878,4406409,6731133
2022,-,-,-,-,29413033,5438929,339261,57321197,5708166,4428192,6014447,5217456,23957770
