country,count
Albania,15
Austria,18
Belarus,9
Belgium,25
Bosnia-Herzegovina,33
Bulgaria,17
Croatia,11
Cyprus,25
Czech Republic,21
Denmark,8
Estonia,4
Finland,16
France,444
Germany,204
Greece,548
Hungary,7
Iceland,2
Ireland,167
Italy,123
Kosovo,157
Latvia,5
Macedonia,106
Malta,5
Moldova,5
Montenegro,5
Netherlands,24
Norway,8
Poland,5
Portugal,2
Romania,1
Russia,1866
Serbia,12
Serbia-Montenegro,11
Slovak Republic,2
Slovenia,1
Spain,421
Sweden,84
Switzerland,15
Ukraine,1683
United Kingdom,1061
Yugoslavia,37
