country,count,latitude,longitude,number,Country of asylum,Refugees under UNHCR's mandate
Albania,15,41.0,20.0,0,Albania,5957
Austria,18,47.33,13.33,1,Austria,852201
Belarus,9,53.0,28.0,2,Belarus,15359
Belgium,25,50.83,4.0,3,Belgium,405427
Bosnia-Herzegovina,33,44.0,18.0,,,
Bulgaria,17,42.5,25.0,4,Bulgaria,123821
Croatia,11,45.17,15.5,5,Croatia,104167
Cyprus,25,35.0,33.0,6,Cyprus,53321
Czech Republic,21,49.75,15.5,7,Czechia,42812
Denmark,8,56.0,9.0,8,Denmark,744050
Estonia,4,59.0,26.0,9,Estonia,1184
Finland,16,64.0,26.0,10,Finland,220103
France,444,46.0,2.0,11,France,3627670
Germany,204,51.0,10.5,12,Germany,12778286
Greece,548,39.0,22.0,13,Greece,167754
Hungary,7,47.0,20.0,14,Hungary,108121
Iceland,2,65.0,-18.0,15,Iceland,3132
Ireland,167,53.0,-8.0,16,Ireland,124098
Italy,123,42.83,12.83,17,Italy,1029433
Kosovo,157,42.6026,20.903, , , 
Latvia,5,57.0,25.0, , , 
Macedonia,106,41.83,22.0,21,North Macedonia,52784
Malta,5,35.83,14.58,19,Malta,81366
Moldova,5,47.0,29.0, , ,
Montenegro,5,42.0,19.0, , , 
Netherlands,24,52.5,5.75,20,Netherlands (Kingdom of the),1984341
Norway,8,62.0,10.0,22,Norway,862486
Poland,5,52.0,20.0,23,Poland,176056
Portugal,2,39.5,-8.0,24,Portugal,10100
Romania,1,46.0,25.0,24,Romania,34786
Russia,1866,60.0,100.0, , , 
Serbia,12,44.0,21.0,25,Serbia and Kosovo: S/RES/1244 (1999),3252310
Serbia-Montenegro,11,42.7087,19.3744, , , 
Slovak Republic,2,48.669,19.699,26,Slovakia,9958
Slovenia,1,46.0,15.0,27,Slovenia,16058
Spain,421,40.0,-4.0,29,Spain,116506
Sweden,84,62.0,15.0,28,Sweden,2338181
Switzerland,15,47.0,8.0,29,Switzerland,1098739
Ukraine,1683,49.0,32.0,30,Ukraine,68118
United Kingdom,1061,54.0,-2.0,31,United Kingdom of Great Britain and Northern Ireland,4058913
Yugoslavia,37,43.85,18.25, , , 
