,iyear,country_txt,region_txt,eventid,imonth,iday,approxdate,extended,resolution,country,region,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
2233,2000,Albania,Eastern Europe,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,0
2241,2000,Bosnia-Herzegovina,Eastern Europe,6,6,6,0,6,0,6,6,6,6,6,6,6,6,1,6,6,6,6,6,2,2,6,6,6,6,6,0,0,0,0,6,6,5,5,6,6,6,6,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,6,0,0,6,2,3,6,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,6,6,6,6,4,4,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,2,6,6,6,6,6,0
2243,2000,Bulgaria,Eastern Europe,2,2,2,0,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,0,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,2,2,2,0
2251,2000,Croatia,Eastern Europe,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0
2252,2000,Cyprus,Western Europe,2,2,2,0,2,0,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,2,2,2
2258,2000,France,Western Europe,28,28,28,0,28,0,28,28,28,28,28,28,28,28,7,28,28,28,28,28,4,4,28,28,28,28,28,0,0,0,0,28,28,25,25,28,28,28,28,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,28,2,0,0,0,0,28,28,0,0,28,7,23,28,6,6,0,0,0,0,0,0,9,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,16,28,28,28,28,28,28,28,22,22,1,18,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,19,8,28,28,28,28,28,3
2261,2000,Germany,Western Europe,8,8,8,0,8,0,8,8,8,8,8,8,8,8,2,8,8,8,8,8,4,4,8,8,8,8,8,0,0,0,0,8,8,7,7,8,8,8,8,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,8,0,0,8,4,6,8,1,1,0,0,0,0,0,0,1,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,7,8,8,8,8,8,8,8,5,5,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,6,3,8,8,8,8,8,0
2262,2000,Greece,Western Europe,28,28,28,0,28,0,28,28,28,28,28,28,28,28,2,28,28,28,28,28,2,2,28,28,28,28,28,0,0,0,0,28,28,28,28,26,28,28,28,3,3,2,2,2,3,3,3,0,0,0,0,0,0,0,0,28,1,1,0,0,0,28,28,1,0,28,3,25,28,20,20,1,1,1,0,0,0,20,28,28,28,28,1,1,1,1,0,0,0,0,0,0,0,0,16,28,28,28,28,28,28,28,25,25,1,21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,28,16,10,28,28,28,28,28,10
2272,2000,Italy,Western Europe,8,8,8,1,8,0,8,8,8,8,8,8,8,8,1,8,8,8,8,8,1,1,8,8,8,8,8,0,0,0,0,8,8,8,8,8,8,8,8,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,8,0,0,8,2,8,8,5,5,0,0,0,0,0,0,6,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,8,8,8,8,8,2,2,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,5,2,8,8,8,8,8,0
2278,2000,Kosovo,Eastern Europe,60,60,60,0,60,2,60,60,60,60,59,59,60,60,25,60,60,60,60,60,17,17,60,60,60,60,60,3,3,1,1,60,60,58,58,58,60,60,60,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,60,0,0,0,0,0,60,60,0,0,60,29,50,60,1,1,0,0,0,0,0,0,3,60,60,59,59,6,6,6,6,0,0,0,0,0,0,0,0,23,58,59,58,56,59,58,60,31,31,0,28,60,2,2,0,2,0,0,2,0,0,0,0,1,2,2,1,20,60,31,21,60,60,60,60,60,5
